ID,Claim Date,CarBrand,VehAge,DrivAge,Location,Claim Amt2,Age Criteria 
F4741,14/02/23,HYUNDAI,4,31,RYIADH,1265,28 to 33
H4743,25/02/23,HYUNDAI,4,31,RYIADH,1089,28 to 33
B4769,28/07/23,KIA,3,41,JEDDAH,1045,34 to 44
C4770,30/05/23,KIA,3,41,JEDDAH,1111,34 to 44
R4857,06/04/23,KIA,5,33,RYIADH,904,28 to 33
D4859,19/07/23,KIA,5,33,RYIADH,1002,28 to 33
F5239,07/10/23,NISSAN,10,33,JEDDAH,1248,28 to 33
H5429,17/08/23,TOYOTA,9,42,JEDDAH,1213,34 to 44
B5431,13/08/23,TOYOTA,9,42,JEDDAH,933,34 to 44
C5789,10/10/23,HYUNDAI,0,59,JEDDAH,1194,45 to 59
R5791,11/12/23,HYUNDAI,0,59,JEDDAH,1003,45 to 59
D5906,14/06/23,NISSAN,0,40,JEDDAH,1163,34 to 44
F5914,07/05/23,TOYOTA,0,41,JEDDAH,1094,34 to 44
H5916,30/07/23,TOYOTA,0,41,JEDDAH,1281,34 to 44
B5939,14/01/23,BMW,5,40,JEDDAH,1109,34 to 44
C5940,07/11/23,BMW,5,40,JEDDAH,982,34 to 44
R6151,27/07/23,KIA,0,69,JEDDAH,1090,60+ Aged
D6152,29/10/23,KIA,0,69,JEDDAH,1188,60+ Aged
F6154,16/05/23,NISSAN,0,43,JEDDAH,1106,34 to 44
H6155,20/06/23,NISSAN,0,45,JEDDAH,1215,45 to 59
B6329,26/06/23,KIA,0,43,JEDDAH,1035,34 to 44
C6331,23/09/23,KIA,0,43,JEDDAH,1026,34 to 44
R7210,30/10/23,KIA,8,37,RYIADH,986,34 to 44
D7211,28/04/23,KIA,6,37,RYIADH,1057,34 to 44
F7302,07/04/23,NISSAN,8,40,JEDDAH,1056,34 to 44
H7305,07/08/23,HYUNDAI,6,21,RYIADH,946,18 to 22
B7306,06/07/23,HYUNDAI,6,21,RYIADH,986,18 to 22
C7921,12/03/23,NISSAN,5,45,JEDDAH,1116,45 to 59
R7924,05/04/23,NISSAN,3,45,JEDDAH,1246,45 to 59
D7925,13/09/23,NISSAN,3,45,JEDDAH,1116,45 to 59
F8185,28/11/23,KIA,0,24,JEDDAH,943,23 to 27 
H8235,19/04/23,KIA,0,32,JEDDAH,1072,28 to 33
B8264,02/06/23,HYUNDAI,2,36,JEDDAH,905,34 to 44
C8296,26/09/23,HYUNDAI,3,47,DAMMAM,1053,45 to 59
R8297,18/02/23,HYUNDAI,3,47,DAMMAM,1057,45 to 59
D8313,10/12/23,KIA,6,32,JEDDAH,937,28 to 33
F8316,10/12/23,KIA,6,32,JEDDAH,1206,28 to 33
H8459,12/06/23,HYUNDAI,0,63,JEDDAH,926,60+ Aged
B8461,15/12/23,HYUNDAI,0,63,JEDDAH,1014,60+ Aged
C8535,18/08/23,NISSAN,0,45,JEDDAH,1117,45 to 59
R8562,26/06/23,KIA,0,32,JEDDAH,953,28 to 33
D8721,27/09/23,KIA,0,45,JEDDAH,1073,45 to 59
F8834,27/09/23,KIA,0,45,JEDDAH,1093,45 to 59
H8840,19/12/23,KIA,0,36,JEDDAH,1088,34 to 44
B8841,24/12/23,KIA,0,36,JEDDAH,1176,34 to 44
C9046,17/07/23,BMW,0,51,JEDDAH,1282,45 to 59
R9100,15/10/23,KIA,2,32,JEDDAH,940,28 to 33
D9130,10/06/23,HYUNDAI,7,41,DAMMAM,1237,34 to 44
F9262,15/08/23,NISSAN,15,40,RYIADH,1166,34 to 44
H9488,23/08/23,KIA,3,35,JEDDAH,1278,34 to 44
B9515,06/12/23,TOYOTA,2,26,RYIADH,1016,23 to 27 
C9516,14/07/23,TOYOTA,2,26,RYIADH,1106,23 to 27 
R9830,01/11/23,KIA,4,26,JEDDAH,1226,23 to 27 
D9929,19/08/23,HYUNDAI,0,46,JEDDAH,921,45 to 59
F10028,26/06/23,KIA,0,39,JEDDAH,1105,34 to 44
H10217,30/10/23,HYUNDAI,0,64,JEDDAH,1025,60+ Aged
B10218,08/05/23,HYUNDAI,0,64,JEDDAH,1187,60+ Aged
C10650,13/08/23,NISSAN,4,23,RYIADH,1070,23 to 27 
R10849,15/07/23,KIA,0,31,JEDDAH,1136,28 to 33
D11106,16/06/23,BMW,0,22,JEDDAH,1599,18 to 22
F11174,17/02/23,KIA,0,27,JEDDAH,902,23 to 27 
H11242,21/06/23,BMW,0,67,JEDDAH,905,60+ Aged
B11379,29/06/23,NISSAN,0,24,JEDDAH,954,23 to 27 
C11526,25/06/23,NISSAN,0,32,JEDDAH,1083,28 to 33
R24058,30/03/23,KIA,20,55,RYIADH,1075,45 to 59
D24271,01/06/23,KIA,12,55,RYIADH,1185,45 to 59
F24272,15/06/23,KIA,10,55,RYIADH,1252,45 to 59
H25528,07/09/23,HYUNDAI,13,27,DAMMAM,1080,23 to 27 
B25529,20/07/23,HYUNDAI,7,27,JEDDAH,1925,23 to 27 
C26094,08/07/23,NISSAN,4,37,RYIADH,1969,34 to 44
R26851,02/01/23,HYUNDAI,4,39,RYIADH,2271,34 to 44
D27156,29/11/23,BMW,2,64,RYIADH,2054,60+ Aged
F27157,07/12/23,BMW,2,64,RYIADH,2263,60+ Aged
H27158,18/04/23,BMW,0,64,RYIADH,1929,60+ Aged
B27171,05/11/23,HYUNDAI,7,41,RYIADH,2115,34 to 44
C27173,04/12/23,BMW,13,52,RYIADH,1152,45 to 59
R28317,20/12/23,HYUNDAI,10,24,RYIADH,1107.5,23 to 27 
D28618,29/05/23,BMW,2,53,RYIADH,1018,45 to 59
F28619,11/08/23,BMW,2,53,RYIADH,743.5,45 to 59
H28620,28/02/23,BMW,2,53,RYIADH,744.5,45 to 59
B28838,13/11/23,BMW,1,53,RYIADH,763.5,45 to 59
C28839,26/03/23,BMW,1,53,RYIADH,1152,45 to 59
R30885,06/04/23,TOYOTA,4,40,RYIADH,1158,34 to 44
D31446,29/10/23,NISSAN,3,23,RYIADH,837,23 to 27 
F31447,29/04/23,NISSAN,3,23,RYIADH,1147,23 to 27 
H37239,07/07/23,TOYOTA,2,32,RYIADH,1035,28 to 33
B37240,05/11/23,TOYOTA,2,32,RYIADH,1141.5,28 to 33
C37241,17/02/23,TOYOTA,2,32,RYIADH,1135,28 to 33
R38394,30/06/23,BMW,9,21,RYIADH,1134,18 to 22
D38777,30/06/23,BMW,8,21,RYIADH,1148.5,18 to 22
F39737,05/10/23,KIA,10,52,RYIADH,884.5,45 to 59
H39741,16/03/23,KIA,4,34,JEDDAH,887.5,34 to 44
B40008,27/06/23,KIA,1,59,RYIADH,819.5,45 to 59
C41434,01/11/23,HYUNDAI,3,27,RYIADH,813.5,23 to 27 
R42097,24/01/23,NISSAN,16,20,RYIADH,1300,18 to 22
D42098,29/10/23,NISSAN,16,20,RYIADH,1600,18 to 22
F43763,03/11/23,TOYOTA,8,32,RYIADH,957.5,28 to 33
H43768,20/12/23,TOYOTA,5,32,RYIADH,948,28 to 33
B43778,24/07/23,TOYOTA,4,35,RYIADH,850.5,34 to 44
C50720,02/09/23,HYUNDAI,14,44,RYIADH,786,34 to 44
R50808,27/04/23,KIA,10,21,RYIADH,1496,18 to 22
D50915,17/03/23,HYUNDAI,9,28,RYIADH,963,28 to 33
F51241,16/07/23,HYUNDAI,7,32,RYIADH,1490,28 to 33
H51242,13/11/23,HYUNDAI,7,32,RYIADH,1521.5,28 to 33
B51243,20/06/23,HYUNDAI,7,32,RYIADH,1526.5,28 to 33
C51440,20/02/23,HYUNDAI,16,44,RYIADH,1138.5,34 to 44
R51441,15/05/23,HYUNDAI,16,44,RYIADH,1305.5,34 to 44
D51495,30/07/23,TOYOTA,15,30,RYIADH,1281.5,28 to 33
F53316,18/05/23,KIA,4,38,RYIADH,1296.5,34 to 44
H53400,12/12/23,HYUNDAI,16,30,RYIADH,1274,28 to 33
B53401,11/11/23,HYUNDAI,16,30,RYIADH,1282.5,28 to 33
C54492,15/11/23,BMW,1,26,RYIADH,734.5,23 to 27 
R54933,08/04/23,BMW,3,27,RYIADH,793.5,23 to 27 
D54934,18/05/23,BMW,0,27,RYIADH,969,23 to 27 
F54935,26/04/23,BMW,0,27,RYIADH,881.5,23 to 27 
H54936,15/08/23,BMW,0,27,RYIADH,869,23 to 27 
B55635,22/03/23,KIA,13,27,RYIADH,789,23 to 27 
C55636,11/11/23,KIA,13,27,RYIADH,1149.5,23 to 27 
R55637,25/09/23,KIA,13,27,RYIADH,1157,23 to 27 
D56306,18/01/23,HYUNDAI,1,56,DAMMAM,807.5,45 to 59
F56404,14/02/23,BMW,3,26,RYIADH,1098.5,23 to 27 
H56405,01/03/23,BMW,3,26,RYIADH,1071,23 to 27 
B56406,19/03/23,BMW,3,26,RYIADH,1302,23 to 27 
C59852,23/06/23,HYUNDAI,8,32,RYIADH,801,28 to 33
R59949,02/11/23,TOYOTA,12,37,JEDDAH,760.5,34 to 44
D59958,03/09/23,TOYOTA,3,68,RYIADH,794.5,60+ Aged
F59959,20/01/23,HYUNDAI,3,30,DAMMAM,779.5,28 to 33
H59966,19/08/23,TOYOTA,8,23,RYIADH,792.5,23 to 27 
B60003,13/11/23,TOYOTA,21,30,RYIADH,754.5,28 to 33
C60046,28/07/23,TOYOTA,11,38,JEDDAH,963.5,34 to 44
R60047,08/03/23,TOYOTA,11,38,JEDDAH,849.5,34 to 44
D60058,25/07/23,BMW,1,42,DAMMAM,818,34 to 44
F60134,02/08/23,BMW,8,42,RYIADH,744.5,34 to 44
H60135,31/05/23,BMW,8,42,RYIADH,737,34 to 44
B60136,17/06/23,BMW,6,42,RYIADH,736,34 to 44
C60142,07/09/23,BMW,4,39,DAMMAM,1140,34 to 44
R60164,17/09/23,TOYOTA,5,24,RYIADH,800.5,23 to 27 
D60165,21/06/23,TOYOTA,2,24,RYIADH,1497.5,23 to 27 
F60181,06/09/23,NISSAN,12,26,RYIADH,1002,23 to 27 
H60321,12/04/23,TOYOTA,0,38,RYIADH,978.5,34 to 44
B60322,13/07/23,TOYOTA,0,38,DAMMAM,981,34 to 44
C60323,11/04/23,TOYOTA,11,38,JEDDAH,962.5,34 to 44
R61554,22/06/23,KIA,7,50,DAMMAM,1520,45 to 59
D61573,17/11/23,KIA,1,40,RYIADH,1288,34 to 44
F61596,12/01/23,TOYOTA,8,33,RYIADH,1288,28 to 33
H68409,13/06/23,BMW,2,32,RYIADH,1275,28 to 33
B68413,21/11/23,BMW,9,54,RYIADH,1276,45 to 59
C68414,08/09/23,KIA,12,68,RYIADH,1128,60+ Aged
R68418,28/05/23,NISSAN,12,50,RYIADH,801.5,45 to 59
D68421,19/03/23,TOYOTA,12,56,RYIADH,789.5,45 to 59
F68423,19/03/23,NISSAN,10,34,RYIADH,786.5,34 to 44
H68425,06/09/23,KIA,5,39,RYIADH,963.5,34 to 44
B68427,10/01/23,BMW,2,65,RYIADH,977.5,60+ Aged
C68429,27/11/23,NISSAN,14,54,RYIADH,876,45 to 59
R68431,18/05/23,TOYOTA,6,41,RYIADH,855.5,34 to 44
D68433,15/03/23,NISSAN,2,75,DAMMAM,871,60+ Aged
F68436,07/07/23,BMW,9,39,RYIADH,852,34 to 44
H68440,22/11/23,HYUNDAI,2,40,JEDDAH,785,34 to 44
B68442,04/01/23,TOYOTA,12,67,RYIADH,797,60+ Aged
C68445,02/10/23,NISSAN,13,51,RYIADH,1142.5,45 to 59
R68446,29/06/23,NISSAN,13,73,RYIADH,822,60+ Aged
D68448,28/09/23,TOYOTA,9,29,RYIADH,1079.5,28 to 33
F68449,19/10/23,HYUNDAI,1,40,JEDDAH,1274.5,34 to 44
H68453,13/10/23,KIA,12,49,RYIADH,816.5,45 to 59
B68454,11/05/23,NISSAN,13,51,DAMMAM,815,45 to 59
C68456,02/07/23,TOYOTA,1,53,DAMMAM,788.5,45 to 59
R68457,30/03/23,TOYOTA,2,42,DAMMAM,1176.5,34 to 44
D68459,30/03/23,TOYOTA,20,34,DAMMAM,1152,34 to 44
F68460,18/06/23,BMW,15,29,JEDDAH,1146.5,28 to 33
H68461,30/04/23,HYUNDAI,15,57,RYIADH,866.5,45 to 59
B68463,05/05/23,TOYOTA,12,65,RYIADH,861.5,60+ Aged
C68465,17/12/23,HYUNDAI,2,35,RYIADH,751,34 to 44
R68467,01/12/23,HYUNDAI,1,32,RYIADH,1086.5,28 to 33
D68468,23/11/23,HYUNDAI,0,32,RYIADH,1121.5,28 to 33
F68469,14/05/23,HYUNDAI,0,32,RYIADH,764,28 to 33
H68471,15/08/23,HYUNDAI,7,38,DAMMAM,951.5,34 to 44
B68475,25/04/23,KIA,13,77,RYIADH,1108,60+ Aged
C68477,30/10/23,NISSAN,11,25,RYIADH,1516,23 to 27 
R68478,25/04/23,NISSAN,7,25,RYIADH,1531.5,23 to 27 
D68479,30/12/23,BMW,7,40,RYIADH,991,34 to 44
F68480,18/03/23,BMW,4,35,RYIADH,983,34 to 44
H68482,24/12/23,KIA,14,33,RYIADH,943,28 to 33
B68483,22/06/23,KIA,11,33,RYIADH,771.5,28 to 33
C68484,28/03/23,KIA,8,33,RYIADH,765,28 to 33
R68485,22/12/23,HYUNDAI,3,40,RYIADH,764,34 to 44
D68486,01/07/23,HYUNDAI,16,50,RYIADH,740.5,45 to 59
F68487,26/02/23,HYUNDAI,6,50,RYIADH,771.5,45 to 59
H68489,08/05/23,NISSAN,8,24,RYIADH,766,23 to 27 
B68493,04/10/23,HYUNDAI,3,57,RYIADH,771.5,45 to 59
C68495,19/12/23,NISSAN,8,23,RYIADH,1293,23 to 27 
R68496,18/12/23,NISSAN,0,23,RYIADH,1287,23 to 27 
D68497,12/07/23,NISSAN,0,23,RYIADH,806.5,23 to 27 
F68499,27/02/23,HYUNDAI,5,45,RYIADH,855,45 to 59
H68500,17/01/23,NISSAN,7,64,RYIADH,872.5,60+ Aged
B68503,02/03/23,BMW,12,40,RYIADH,781.5,34 to 44
C68508,05/10/23,NISSAN,11,57,RYIADH,976,45 to 59
R68510,05/11/23,NISSAN,20,51,JEDDAH,800,45 to 59
D68511,27/11/23,NISSAN,13,31,RYIADH,806.5,28 to 33
F68512,20/08/23,NISSAN,14,31,JEDDAH,1156.5,28 to 33
H68513,08/02/23,KIA,15,51,RYIADH,810.5,45 to 59
B68514,23/06/23,KIA,4,51,RYIADH,820.5,45 to 59
C68515,07/05/23,KIA,4,51,RYIADH,1158.5,45 to 59
R68517,17/10/23,KIA,16,54,DAMMAM,1171,45 to 59
D68519,18/06/23,HYUNDAI,12,49,RYIADH,1134,45 to 59
F68520,27/01/23,TOYOTA,6,53,RYIADH,819.5,45 to 59
H68522,09/08/23,NISSAN,12,35,JEDDAH,942.5,34 to 44
B68523,12/07/23,NISSAN,2,35,RYIADH,754,34 to 44
C68524,24/11/23,NISSAN,2,35,RYIADH,1095,34 to 44
R68526,20/10/23,HYUNDAI,4,27,RYIADH,1116,23 to 27 
D68529,09/06/23,HYUNDAI,19,25,RYIADH,1090,23 to 27 
F68530,30/08/23,NISSAN,15,64,RYIADH,740.5,60+ Aged
H68532,28/07/23,KIA,7,73,RYIADH,743,60+ Aged
B68535,09/10/23,NISSAN,4,76,RYIADH,1182,60+ Aged
C68536,03/01/23,KIA,6,39,RYIADH,1136,34 to 44
R68538,24/12/23,KIA,11,39,RYIADH,1068.5,34 to 44
D68540,28/01/23,NISSAN,10,52,RYIADH,792.5,45 to 59
F68541,31/07/23,KIA,9,49,RYIADH,780.5,45 to 59
H68542,14/05/23,HYUNDAI,9,45,RYIADH,770,45 to 59
B68545,22/01/23,NISSAN,8,36,RYIADH,993.5,34 to 44
C68546,01/07/23,NISSAN,9,33,RYIADH,786,28 to 33
R68548,12/10/23,NISSAN,9,35,RYIADH,814,34 to 44
D68552,20/09/23,BMW,7,48,DAMMAM,807,45 to 59
F68554,11/08/23,BMW,3,43,RYIADH,797.5,34 to 44
H68555,04/05/23,NISSAN,11,27,RYIADH,813,23 to 27 
B68556,24/01/23,NISSAN,11,27,RYIADH,929,23 to 27 
C68558,27/04/23,BMW,7,29,RYIADH,763,28 to 33
R68561,27/06/23,HYUNDAI,3,57,RYIADH,735,45 to 59
D68563,26/03/23,TOYOTA,3,24,DAMMAM,747.5,23 to 27 
F68564,20/12/23,TOYOTA,2,24,RYIADH,789,23 to 27 
H68566,29/03/23,NISSAN,12,41,RYIADH,779.5,34 to 44
B68568,04/05/23,NISSAN,10,28,RYIADH,775.5,28 to 33
C68569,29/06/23,NISSAN,10,28,RYIADH,1041,28 to 33
R68574,24/07/23,HYUNDAI,1,37,RYIADH,1025,34 to 44
D68576,18/10/23,NISSAN,3,30,RYIADH,1096.5,28 to 33
F68577,18/08/23,NISSAN,7,40,RYIADH,1154,34 to 44
H68579,21/01/23,NISSAN,13,25,RYIADH,746.5,23 to 27 
B68580,07/11/23,BMW,13,52,RYIADH,753,45 to 59
C68581,17/04/23,NISSAN,9,34,RYIADH,816,34 to 44
R68583,21/09/23,KIA,11,30,RYIADH,761.5,28 to 33
D68584,28/05/23,KIA,2,30,RYIADH,1180.5,28 to 33
F68586,17/01/23,HYUNDAI,12,36,RYIADH,1152,34 to 44
H68587,16/10/23,HYUNDAI,12,36,RYIADH,768.5,34 to 44
B68589,23/01/23,BMW,1,52,RYIADH,805.5,45 to 59
C68594,06/01/23,BMW,1,34,RYIADH,770.5,34 to 44
R68595,24/08/23,BMW,8,21,RYIADH,808.5,18 to 22
D68596,28/12/23,BMW,8,21,RYIADH,769.5,18 to 22
F68597,28/02/23,HYUNDAI,7,42,RYIADH,758.5,34 to 44
H68599,16/11/23,KIA,7,48,RYIADH,1187.5,45 to 59
B68600,15/04/23,KIA,7,48,RYIADH,1183.5,45 to 59
C68602,13/10/23,HYUNDAI,4,32,RYIADH,800.5,28 to 33
R68603,15/07/23,NISSAN,1,26,RYIADH,792.5,23 to 27 
D68604,13/03/23,NISSAN,10,49,RYIADH,1173.5,45 to 59
F68606,13/12/23,NISSAN,6,49,RYIADH,1172,45 to 59
H68608,20/01/23,BMW,11,35,RYIADH,765.5,34 to 44
B68610,25/09/23,BMW,11,35,DAMMAM,801.5,34 to 44
C68611,20/02/23,BMW,11,35,JEDDAH,748.5,34 to 44
R68615,17/02/23,NISSAN,12,41,RYIADH,1169,34 to 44
D68616,01/03/23,NISSAN,12,41,RYIADH,1119,34 to 44
F68617,14/01/23,NISSAN,5,63,RYIADH,781.5,60+ Aged
H68619,13/03/23,BMW,13,50,RYIADH,800.5,45 to 59
B68621,22/12/23,KIA,11,27,RYIADH,1022.75,23 to 27 
C68624,31/07/23,NISSAN,4,37,RYIADH,793.25,34 to 44
R68626,18/06/23,HYUNDAI,17,20,RYIADH,1300,18 to 22
D68627,13/11/23,KIA,1,68,RYIADH,671.25,60+ Aged
F68629,05/09/23,HYUNDAI,1,40,JEDDAH,673,34 to 44
H68630,05/04/23,NISSAN,5,29,RYIADH,1061,28 to 33
B68631,01/11/23,TOYOTA,12,34,DAMMAM,1050,34 to 44
C68633,18/01/23,HYUNDAI,8,40,JEDDAH,847,34 to 44
R68634,14/05/23,HYUNDAI,0,40,RYIADH,1163,34 to 44
D68635,23/09/23,HYUNDAI,0,40,RYIADH,1032.5,34 to 44
F68639,21/05/23,NISSAN,5,50,RYIADH,1135,45 to 59
H68642,11/07/23,NISSAN,8,23,JEDDAH,1144,23 to 27 
B68643,17/09/23,NISSAN,13,62,RYIADH,1152,60+ Aged
C68644,06/01/23,NISSAN,7,24,RYIADH,1138,23 to 27 
R68646,22/05/23,NISSAN,10,45,RYIADH,881,45 to 59
D68647,10/06/23,NISSAN,0,45,RYIADH,891,45 to 59
F68649,23/02/23,HYUNDAI,1,27,RYIADH,794.5,23 to 27 
H68650,25/06/23,TOYOTA,9,57,RYIADH,793,45 to 59
B68651,21/04/23,NISSAN,15,45,RYIADH,774.5,45 to 59
C68653,27/01/23,NISSAN,16,33,RYIADH,792.5,28 to 33
R68654,21/01/23,HYUNDAI,12,54,RYIADH,943,45 to 59
D68655,11/02/23,HYUNDAI,12,54,RYIADH,932.5,45 to 59
F68659,07/06/23,NISSAN,4,43,RYIADH,825.5,34 to 44
H68662,23/01/23,BMW,18,43,RYIADH,811,34 to 44
B68664,03/12/23,BMW,15,31,RYIADH,1496.5,28 to 33
C68665,27/03/23,BMW,13,31,RYIADH,977,28 to 33
R68672,21/01/23,HYUNDAI,2,37,RYIADH,1504,34 to 44
D68675,04/04/23,HYUNDAI,13,52,RYIADH,1512,45 to 59
F68677,30/05/23,HYUNDAI,11,52,RYIADH,1521,45 to 59
H68680,07/05/23,HYUNDAI,2,33,RYIADH,1146,28 to 33
B68681,17/06/23,HYUNDAI,2,33,RYIADH,1265.5,28 to 33
C68683,16/07/23,BMW,13,27,RYIADH,1298.5,23 to 27 
R68684,01/06/23,BMW,13,27,RYIADH,1276.5,23 to 27 
D68686,03/09/23,BMW,11,34,RYIADH,1278.5,34 to 44
F68687,07/05/23,BMW,6,34,JEDDAH,1277,34 to 44
H68689,24/10/23,TOYOTA,9,24,DAMMAM,744,23 to 27 
B68690,12/11/23,NISSAN,5,78,RYIADH,781,60+ Aged
C68692,14/01/23,NISSAN,8,76,RYIADH,965.5,60+ Aged
R68694,24/09/23,KIA,10,32,RYIADH,845,28 to 33
D68695,20/10/23,KIA,11,32,RYIADH,870,28 to 33
F68697,08/02/23,TOYOTA,12,41,RYIADH,770.5,34 to 44
H68699,21/06/23,NISSAN,2,45,RYIADH,1163,45 to 59
B68701,03/06/23,NISSAN,11,41,RYIADH,1140,34 to 44
C68703,20/03/23,NISSAN,11,73,RYIADH,814,60+ Aged
R68705,03/09/23,NISSAN,4,27,RYIADH,1102,23 to 27 
D68706,25/05/23,NISSAN,4,27,RYIADH,1080,23 to 27 
F68711,28/06/23,KIA,7,37,RYIADH,1294,34 to 44
H68714,08/02/23,KIA,3,24,DAMMAM,819,23 to 27 
B68715,29/08/23,NISSAN,3,47,RYIADH,785.5,45 to 59
C68716,30/10/23,NISSAN,0,47,RYIADH,777.5,45 to 59
R68718,15/01/23,NISSAN,12,48,RYIADH,782.5,45 to 59
D68719,10/01/23,NISSAN,12,48,RYIADH,792,45 to 59
F68721,21/09/23,NISSAN,1,35,RYIADH,758.5,34 to 44
H68723,23/12/23,NISSAN,14,33,DAMMAM,961,28 to 33
B68724,22/07/23,NISSAN,14,33,RYIADH,824.5,28 to 33
C68726,04/03/23,TOYOTA,9,37,RYIADH,841,34 to 44
R68727,04/10/23,KIA,4,21,RYIADH,735,18 to 22
D68730,07/09/23,BMW,2,45,JEDDAH,734,45 to 59
F68731,02/10/23,BMW,2,45,JEDDAH,742.5,45 to 59
H68732,14/04/23,BMW,2,45,JEDDAH,1162,45 to 59
B68734,23/06/23,KIA,10,54,RYIADH,791,45 to 59
C68735,03/04/23,KIA,10,54,RYIADH,1507,45 to 59
R68737,05/11/23,HYUNDAI,6,60,RYIADH,971,60+ Aged
D68739,13/04/23,NISSAN,1,45,RYIADH,964.5,45 to 59
F68740,08/09/23,NISSAN,1,45,RYIADH,984,45 to 59
H68743,13/07/23,NISSAN,3,31,RYIADH,980,28 to 33
B68745,06/08/23,KIA,1,32,RYIADH,1519,28 to 33
C68747,30/11/23,HYUNDAI,4,27,RYIADH,1302.5,23 to 27 
R68749,13/10/23,NISSAN,8,27,RYIADH,1280.5,23 to 27 
D68750,27/02/23,NISSAN,8,27,RYIADH,1280.5,23 to 27 
F68751,20/06/23,TOYOTA,4,43,RYIADH,1281,34 to 44
H68752,31/12/23,TOYOTA,4,43,RYIADH,1115.5,34 to 44
B68753,16/11/23,NISSAN,9,31,JEDDAH,779.5,28 to 33
C68755,12/03/23,KIA,13,46,RYIADH,794,45 to 59
